epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.619,1.54899,1.39871,1.40015,0.62198,0.56474,0.59836,0.32233,1.61969,1.47935,1.4185,0.0700132,0.00333186,0.00333186
2,839.777,1.48761,1.14018,1.39822,0.64874,0.64407,0.6734,0.38096,1.45894,1.05575,1.37695,0.0399472,0.00659921,0.00659921
3,1224.31,1.45201,1.05108,1.38115,0.61678,0.64493,0.65984,0.37432,1.46436,0.96396,1.36316,0.00981525,0.00980056,0.00980056
4,1598.68,1.42059,0.98019,1.36626,0.6573,0.6772,0.69738,0.40745,1.4,0.85739,1.32687,0.009703,0.009703,0.009703
5,4629,1.39848,0.9344,1.35308,0.83348,0.70043,0.72912,0.39924,1.47614,0.78936,1.36218,0.009604,0.009604,0.009604
6,5005.04,1.37993,0.90221,1.33948,0.70217,0.72258,0.74607,0.42796,1.39437,0.75271,1.30337,0.009505,0.009505,0.009505
1,1242.77,1.52046,1.46753,1.37241,0.7888,0.64881,0.68651,0.38509,1.46997,0.97835,1.30252,0.0670036,0.000333297,0.000333297
2,2372.88,1.44516,1.09786,1.33107,0.81849,0.69821,0.73313,0.43526,1.35676,0.82952,1.23903,0.0339976,0.00066063,0.00066063
3,3360.18,1.41262,1.00571,1.32127,0.70643,0.70852,0.73782,0.42011,1.42195,0.79205,1.27413,0.000985637,0.000981964,0.000981964
4,4348.2,1.3991,0.95768,1.31375,0.84351,0.71911,0.75073,0.43573,1.39747,0.75315,1.25526,0.000973,0.000973,0.000973
5,5337.59,1.38084,0.92129,1.30071,0.73378,0.72201,0.75574,0.4376,1.39154,0.7381,1.26564,0.000964,0.000964,0.000964
6,6329.15,1.36706,0.89929,1.2981,0.85339,0.73275,0.76347,0.44544,1.37675,0.71122,1.25699,0.000955,0.000955,0.000955
7,7317.02,1.36355,0.87985,1.29908,0.85579,0.73637,0.76397,0.45038,1.35959,0.70396,1.2531,0.000946,0.000946,0.000946
8,8305.35,1.35638,0.86143,1.29631,0.86874,0.7434,0.77007,0.45299,1.36192,0.67906,1.24738,0.000937,0.000937,0.000937
9,9293.08,1.34679,0.84846,1.29038,0.86969,0.74544,0.77427,0.45875,1.34991,0.66816,1.24158,0.000928,0.000928,0.000928
10,10269.8,1.33957,0.84203,1.29131,0.87943,0.74615,0.77709,0.4589,1.35622,0.6604,1.24426,0.000919,0.000919,0.000919
11,11249.9,1.33685,0.83137,1.28787,0.87455,0.75227,0.77812,0.45943,1.34742,0.65326,1.24696,0.00091,0.00091,0.00091
12,12228.3,1.33076,0.81477,1.28501,0.87708,0.75177,0.77488,0.45733,1.35173,0.65153,1.24606,0.000901,0.000901,0.000901
13,13218.8,1.32848,0.80421,1.28073,0.87951,0.75266,0.77973,0.46217,1.34193,0.64076,1.23954,0.000892,0.000892,0.000892
14,14211.8,1.32546,0.80069,1.27642,0.88662,0.7547,0.78032,0.46229,1.34446,0.63404,1.23881,0.000883,0.000883,0.000883
15,15203.4,1.32244,0.79382,1.28145,0.88339,0.75879,0.78163,0.46401,1.33861,0.6294,1.23767,0.000874,0.000874,0.000874
16,16195.4,1.3161,0.78409,1.27111,0.89031,0.75783,0.78346,0.46442,1.34086,0.62469,1.23458,0.000865,0.000865,0.000865
